Tổng thời gian: 9919.29 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 204: Thời gian 2.397s, CER 0.0503, WER 0.2834
Ảnh 205: Thời gian 2.447s, CER 0.0405, WER 0.2565
Ảnh 206: Thời gian 2.426s, CER 0.0449, WER 0.2807
Ảnh 207: Thời gian 2.469s, CER 0.0469, WER 0.2880
Ảnh 208: Thời gian 2.391s, CER 0.0511, WER 0.3146
Ảnh 209: Thời gian 2.395s, CER 0.0460, WER 0.2936
Ảnh 210: Thời gian 2.498s, CER 0.0469, WER 0.2971
Ảnh 211: Thời gian 2.353s, CER 0.0421, WER 0.2615
Ảnh 212: Thời gian 2.381s, CER 0.0501, WER 0.3159
Ảnh 213: Thời gian 2.380s, CER 0.0488, WER 0.2941
Ảnh 214: Thời gian 2.438s, CER 0.0396, WER 0.2433
Ảnh 215: Thời gian 2.452s, CER 0.0453, WER 0.2922
Ảnh 216: Thời gian 2.395s, CER 0.0447, WER 0.2923
Ảnh 217: Thời gian 2.458s, CER 0.0496, WER 0.3028
Ảnh 218: Thời gian 2.445s, CER 0.0483, WER 0.2907
Ảnh 219: Thời gian 2.434s, CER 0.0469, WER 0.2834
Ảnh 220: Thời gian 2.464s, CER 0.0430, WER 0.2686
Ảnh 221: Thời gian 2.515s, CER 0.0515, WER 0.3051
Ảnh 222: Thời gian 2.418s, CER 0.0570, WER 0.3560
Ảnh 223: Thời gian 2.441s, CER 0.0471, WER 0.3046
Ảnh 224: Thời gian 2.474s, CER 0.0444, WER 0.2778
Ảnh 225: Thời gian 2.390s, CER 0.0448, WER 0.2811
Ảnh 226: Thời gian 2.439s, CER 0.0486, WER 0.3072
Ảnh 227: Thời gian 2.377s, CER 0.0495, WER 0.2850
Ảnh 228: Thời gian 2.439s, CER 0.0472, WER 0.2933
Ảnh 229: Thời gian 2.672s, CER 0.0456, WER 0.2685
Ảnh 230: Thời gian 3.194s, CER 0.0471, WER 0.2958
Ảnh 231: Thời gian 2.795s, CER 0.0518, WER 0.3210
Ảnh 232: Thời gian 2.680s, CER 0.0510, WER 0.2948
Ảnh 233: Thời gian 2.563s, CER 0.0525, WER 0.3372
Ảnh 234: Thời gian 2.566s, CER 0.0463, WER 0.2686
Ảnh 235: Thời gian 2.574s, CER 0.0469, WER 0.2694
Ảnh 236: Thời gian 2.843s, CER 0.0413, WER 0.2677
Ảnh 237: Thời gian 2.612s, CER 0.0548, WER 0.3258
Ảnh 238: Thời gian 2.654s, CER 0.0499, WER 0.3146
Ảnh 239: Thời gian 2.663s, CER 0.0433, WER 0.2638
Ảnh 240: Thời gian 2.661s, CER 0.0475, WER 0.2831
Ảnh 241: Thời gian 3.828s, CER 0.0452, WER 0.2808
Ảnh 242: Thời gian 3.088s, CER 0.0489, WER 0.3002
Ảnh 243: Thời gian 2.756s, CER 0.0488, WER 0.3119
Ảnh 244: Thời gian 2.950s, CER 0.0515, WER 0.3165
Ảnh 245: Thời gian 2.972s, CER 0.0432, WER 0.2653
Ảnh 246: Thời gian 2.797s, CER 0.0495, WER 0.3007
Ảnh 247: Thời gian 2.801s, CER 0.0461, WER 0.2822
Ảnh 248: Thời gian 2.852s, CER 0.0427, WER 0.2615
Ảnh 249: Thời gian 2.771s, CER 0.0482, WER 0.3035
Ảnh 250: Thời gian 2.718s, CER 0.0474, WER 0.2960
Ảnh 251: Thời gian 2.794s, CER 0.0509, WER 0.2900
Ảnh 252: Thời gian 2.820s, CER 0.0384, WER 0.2598
Ảnh 253: Thời gian 2.758s, CER 0.0447, WER 0.2897
Ảnh 254: Thời gian 2.867s, CER 0.0442, WER 0.2809
Ảnh 255: Thời gian 2.759s, CER 0.0556, WER 0.3318
Ảnh 256: Thời gian 2.573s, CER 0.0439, WER 0.2639
Ảnh 257: Thời gian 2.555s, CER 0.0529, WER 0.3117
Ảnh 258: Thời gian 2.559s, CER 0.0466, WER 0.2860
Ảnh 259: Thời gian 2.571s, CER 0.0432, WER 0.2797
Ảnh 260: Thời gian 2.629s, CER 0.0485, WER 0.2876
Ảnh 261: Thời gian 2.591s, CER 0.0411, WER 0.2632
Ảnh 262: Thời gian 2.688s, CER 0.0509, WER 0.3136
Ảnh 263: Thời gian 2.570s, CER 0.0506, WER 0.3211
Ảnh 264: Thời gian 2.551s, CER 0.0513, WER 0.3073
Ảnh 265: Thời gian 2.659s, CER 0.0534, WER 0.3187
Ảnh 266: Thời gian 2.640s, CER 0.0471, WER 0.2779
Ảnh 267: Thời gian 2.594s, CER 0.0441, WER 0.2706
Ảnh 268: Thời gian 2.591s, CER 0.0434, WER 0.2748
Ảnh 269: Thời gian 2.577s, CER 0.0517, WER 0.3318
Ảnh 270: Thời gian 2.559s, CER 0.0410, WER 0.2723
Ảnh 271: Thời gian 2.639s, CER 0.0466, WER 0.3057
Ảnh 272: Thời gian 2.551s, CER 0.0412, WER 0.2545
Ảnh 273: Thời gian 2.571s, CER 0.0410, WER 0.2698
Ảnh 274: Thời gian 2.578s, CER 0.0478, WER 0.2775
Ảnh 275: Thời gian 2.633s, CER 0.0463, WER 0.2889
Ảnh 276: Thời gian 2.581s, CER 0.0484, WER 0.3190
Ảnh 277: Thời gian 2.690s, CER 0.0439, WER 0.2611
Ảnh 278: Thời gian 2.568s, CER 0.0424, WER 0.2662
Ảnh 279: Thời gian 2.683s, CER 0.0431, WER 0.2725
Ảnh 280: Thời gian 2.909s, CER 0.0426, WER 0.2556
Ảnh 281: Thời gian 2.988s, CER 0.0467, WER 0.2899
Ảnh 282: Thời gian 2.752s, CER 0.0454, WER 0.2736
Ảnh 283: Thời gian 2.841s, CER 0.0554, WER 0.3417
Ảnh 284: Thời gian 2.744s, CER 0.0444, WER 0.2610
Ảnh 285: Thời gian 2.728s, CER 0.0516, WER 0.3065
Ảnh 286: Thời gian 2.706s, CER 0.0396, WER 0.2512
Ảnh 287: Thời gian 2.724s, CER 0.0432, WER 0.2621
Ảnh 288: Thời gian 2.900s, CER 0.0519, WER 0.2989
Ảnh 289: Thời gian 2.729s, CER 0.0446, WER 0.2792
Ảnh 290: Thời gian 2.746s, CER 0.0471, WER 0.2920
Ảnh 291: Thời gian 2.806s, CER 0.0440, WER 0.2700
Ảnh 292: Thời gian 2.789s, CER 0.0500, WER 0.2921
Ảnh 293: Thời gian 2.882s, CER 0.0426, WER 0.2512
Ảnh 294: Thời gian 2.766s, CER 0.0451, WER 0.2588
Ảnh 295: Thời gian 2.646s, CER 0.0500, WER 0.2902
Ảnh 296: Thời gian 2.634s, CER 0.0460, WER 0.2936
Ảnh 297: Thời gian 2.592s, CER 0.0426, WER 0.2738
Ảnh 298: Thời gian 2.680s, CER 0.0448, WER 0.2824
Ảnh 299: Thời gian 2.626s, CER 0.0458, WER 0.2717
Ảnh 300: Thời gian 2.623s, CER 0.0469, WER 0.2966
Ảnh 301: Thời gian 2.629s, CER 0.0493, WER 0.3105
Ảnh 302: Thời gian 2.577s, CER 0.0566, WER 0.3279
Ảnh 303: Thời gian 2.638s, CER 0.0447, WER 0.2483
Ảnh 304: Thời gian 2.577s, CER 0.0479, WER 0.3000
Ảnh 305: Thời gian 2.652s, CER 0.0456, WER 0.2860
Ảnh 306: Thời gian 2.747s, CER 0.0496, WER 0.3084
Ảnh 307: Thời gian 2.689s, CER 0.0426, WER 0.2467
Ảnh 308: Thời gian 2.714s, CER 0.0406, WER 0.2580
Ảnh 309: Thời gian 2.527s, CER 0.0513, WER 0.3044
Ảnh 310: Thời gian 2.744s, CER 0.0413, WER 0.2563
Ảnh 311: Thời gian 2.593s, CER 0.0496, WER 0.2793
Ảnh 312: Thời gian 2.669s, CER 0.0462, WER 0.2897
Ảnh 313: Thời gian 2.597s, CER 0.0506, WER 0.3079
Ảnh 314: Thời gian 2.596s, CER 0.0447, WER 0.2995
Ảnh 315: Thời gian 2.813s, CER 0.0449, WER 0.2819
Ảnh 316: Thời gian 2.637s, CER 0.0448, WER 0.2798
Ảnh 317: Thời gian 2.602s, CER 0.0427, WER 0.2768
Ảnh 318: Thời gian 2.683s, CER 0.0413, WER 0.2694
Ảnh 319: Thời gian 2.698s, CER 0.0453, WER 0.2897
Ảnh 320: Thời gian 2.561s, CER 0.0451, WER 0.2640
Ảnh 321: Thời gian 2.601s, CER 0.0421, WER 0.2837
Ảnh 322: Thời gian 2.574s, CER 0.0475, WER 0.2953
Ảnh 323: Thời gian 2.677s, CER 0.0462, WER 0.2971
Ảnh 324: Thời gian 2.685s, CER 0.0502, WER 0.3102
Ảnh 325: Thời gian 2.571s, CER 0.0492, WER 0.2991
Ảnh 326: Thời gian 2.597s, CER 0.0413, WER 0.2528
Ảnh 327: Thời gian 2.589s, CER 0.0449, WER 0.2998
Ảnh 328: Thời gian 2.586s, CER 0.0455, WER 0.2860
Ảnh 329: Thời gian 2.781s, CER 0.0540, WER 0.3325
Ảnh 330: Thời gian 2.760s, CER 0.0471, WER 0.2979
Ảnh 331: Thời gian 2.893s, CER 0.0494, WER 0.3011
Ảnh 332: Thời gian 2.718s, CER 0.0482, WER 0.2854
Ảnh 333: Thời gian 2.600s, CER 0.0483, WER 0.3213
Ảnh 334: Thời gian 2.669s, CER 0.0424, WER 0.2654
Ảnh 335: Thời gian 2.635s, CER 0.0439, WER 0.2740
Ảnh 336: Thời gian 2.773s, CER 0.0489, WER 0.2885
Ảnh 337: Thời gian 2.673s, CER 0.0505, WER 0.3122
Ảnh 338: Thời gian 2.736s, CER 0.0493, WER 0.2920
Ảnh 339: Thời gian 2.618s, CER 0.0461, WER 0.2933
Ảnh 340: Thời gian 2.638s, CER 0.0476, WER 0.2926
Ảnh 341: Thời gian 2.640s, CER 0.0457, WER 0.2752
Ảnh 342: Thời gian 2.645s, CER 0.0414, WER 0.2740
Ảnh 343: Thời gian 2.635s, CER 0.0519, WER 0.3059
Ảnh 344: Thời gian 2.627s, CER 0.0530, WER 0.3235
Ảnh 345: Thời gian 2.572s, CER 0.0470, WER 0.2799
Ảnh 346: Thời gian 2.632s, CER 0.0463, WER 0.3034
Ảnh 347: Thời gian 2.564s, CER 0.0486, WER 0.2754
Ảnh 348: Thời gian 2.596s, CER 0.0522, WER 0.2978
Ảnh 349: Thời gian 2.592s, CER 0.0458, WER 0.2894
Ảnh 350: Thời gian 2.594s, CER 0.0471, WER 0.2890
Ảnh 351: Thời gian 2.560s, CER 0.0428, WER 0.2742
Ảnh 352: Thời gian 2.796s, CER 0.0374, WER 0.2536
Ảnh 353: Thời gian 2.552s, CER 0.0473, WER 0.2860
Ảnh 354: Thời gian 2.622s, CER 0.0422, WER 0.2654
Ảnh 355: Thời gian 2.776s, CER 0.0537, WER 0.3183
Ảnh 356: Thời gian 2.843s, CER 0.0435, WER 0.2556
Ảnh 357: Thời gian 2.757s, CER 0.0438, WER 0.2753
Ảnh 358: Thời gian 2.610s, CER 0.0427, WER 0.2857
Ảnh 359: Thời gian 2.605s, CER 0.0487, WER 0.3061
Ảnh 360: Thời gian 2.659s, CER 0.0467, WER 0.3019
Ảnh 361: Thời gian 2.761s, CER 0.0478, WER 0.2844
Ảnh 362: Thời gian 2.802s, CER 0.0470, WER 0.3050
Ảnh 363: Thời gian 2.841s, CER 0.0407, WER 0.2580
Ảnh 364: Thời gian 2.665s, CER 0.0443, WER 0.2819
