Ảnh,Thời gian (s),CER,WER
559,2.356,0.0438,0.2742
560,2.435,0.0427,0.2683
561,2.411,0.0455,0.2793
562,2.344,0.0458,0.2782
563,2.451,0.0483,0.2857
564,2.386,0.0484,0.2929
565,2.400,0.0504,0.2905
566,2.460,0.0479,0.3053
567,2.468,0.0439,0.2758
568,2.420,0.0539,0.3349
569,2.425,0.0483,0.3011
570,2.386,0.0523,0.3371
571,2.469,0.0407,0.2540
572,2.408,0.0553,0.3372
573,2.352,0.0418,0.2657
574,2.325,0.0431,0.2547
575,2.398,0.0433,0.2605
576,2.356,0.0406,0.2676
577,2.406,0.0498,0.3025
578,2.432,0.0508,0.3056
579,2.448,0.0427,0.2847
580,2.434,0.0444,0.2575
581,2.389,0.0472,0.2989
582,2.413,0.0485,0.3043
583,2.352,0.0494,0.2929
584,2.340,0.0479,0.3011
585,2.445,0.0533,0.3256
586,2.435,0.0443,0.2699
587,2.401,0.0504,0.3310
588,2.422,0.0480,0.2972
589,2.394,0.0409,0.2482
590,2.370,0.0398,0.2545
591,2.403,0.0467,0.2681
592,2.358,0.0452,0.2900
593,2.396,0.0508,0.3099
594,2.445,0.0474,0.2969
595,2.396,0.0411,0.2558
596,2.315,0.0462,0.2814
597,2.414,0.0409,0.2621
598,2.320,0.0501,0.3057
599,2.447,0.0426,0.2697
600,2.436,0.0511,0.3255
601,2.423,0.0417,0.2695
602,2.393,0.0471,0.2991
603,2.452,0.0402,0.2568
604,2.311,0.0488,0.2897
605,2.436,0.0411,0.2533
606,2.727,0.0461,0.2831
607,2.843,0.0516,0.3264
608,2.789,0.0510,0.3075
609,2.599,0.0461,0.2752
610,3.057,0.0422,0.2689
611,3.146,0.0514,0.3072
612,2.783,0.0477,0.3100
613,2.845,0.0408,0.2715
614,2.841,0.0503,0.3163
615,2.651,0.0434,0.2529
616,2.800,0.0406,0.2472
617,2.586,0.0445,0.2676
618,2.764,0.0444,0.2759
619,2.683,0.0400,0.2569
620,2.633,0.0480,0.2913
621,2.855,0.0458,0.3070
622,2.583,0.0442,0.2719
623,2.526,0.0481,0.2978
624,2.496,0.0413,0.2582
625,2.527,0.0494,0.3028
626,2.682,0.0471,0.2788
627,2.478,0.0450,0.2898
628,2.412,0.0457,0.2871
629,2.467,0.0401,0.2603
630,2.477,0.0502,0.3153
631,2.362,0.0514,0.3124
632,2.427,0.0463,0.2818
633,2.468,0.0448,0.2687
634,2.380,0.0418,0.2659
635,2.426,0.0405,0.2638
636,2.345,0.0464,0.2828
637,2.460,0.0448,0.2798
638,2.423,0.0455,0.2905
639,2.389,0.0534,0.3126
640,2.443,0.0478,0.2864
641,2.395,0.0483,0.2874
642,2.323,0.0470,0.2864
643,2.360,0.0451,0.2717
644,2.350,0.0456,0.2857
645,2.465,0.0512,0.3107
646,2.367,0.0472,0.2652
647,2.430,0.0578,0.3303
648,2.444,0.0514,0.3199
649,2.424,0.0440,0.2944
650,2.472,0.0478,0.2683
651,2.422,0.0438,0.2803
652,2.449,0.0460,0.2867
653,2.483,0.0414,0.2523
654,2.433,0.0511,0.3080
655,2.422,0.0495,0.3065
656,2.454,0.0481,0.2980
657,2.326,0.0503,0.3129
658,2.402,0.0489,0.3065
