Tổng thời gian: 1162.91 giây
Thời gian/ảnh: 4.534s
Trung bình CER: 0.0465
Trung bình WER: 0.2866
Chi tiết từng ảnh:
img_0241.png: 3.314s, CER 0.0570, WER 0.3333
img_0242.png: 3.343s, CER 0.0455, WER 0.2929
img_0243.png: 3.358s, CER 0.0417, WER 0.2573
img_0244.png: 3.299s, CER 0.0472, WER 0.2926
img_0245.png: 3.438s, CER 0.0419, WER 0.2683
img_0246.png: 15.138s, CER 0.0469, WER 0.2934
img_0247.png: 3.426s, CER 0.0407, WER 0.2517
img_0248.png: 3.406s, CER 0.0448, WER 0.2780
img_0249.png: 10.502s, CER 0.0457, WER 0.2679
img_0250.png: 3.272s, CER 0.0420, WER 0.2477
img_0251.png: 3.331s, CER 0.0432, WER 0.2624
img_0252.png: 3.506s, CER 0.0391, WER 0.2327
img_0253.png: 3.276s, CER 0.0488, WER 0.2830
img_0254.png: 4.016s, CER 0.0485, WER 0.3154
img_0255.png: 8.986s, CER 0.0457, WER 0.2803
img_0256.png: 3.442s, CER 0.0495, WER 0.3018
img_0257.png: 3.456s, CER 0.0445, WER 0.2630
img_0258.png: 3.236s, CER 0.0474, WER 0.2974
img_0259.png: 3.221s, CER 0.0467, WER 0.2927
img_0300.png: 3.284s, CER 0.0519, WER 0.3135
img_0301.png: 3.315s, CER 0.0451, WER 0.2867
img_0302.png: 3.264s, CER 0.0480, WER 0.2905
img_0303.png: 3.531s, CER 0.0423, WER 0.2635
img_0304.png: 3.273s, CER 0.0476, WER 0.2779
img_0305.png: 8.847s, CER 0.0451, WER 0.2700
img_0306.png: 9.687s, CER 0.0500, WER 0.2957
img_0307.png: 3.246s, CER 0.0492, WER 0.2995
img_0308.png: 3.265s, CER 0.0466, WER 0.2860
img_0309.png: 10.601s, CER 0.0469, WER 0.3066
img_0310.png: 3.250s, CER 0.0478, WER 0.2961
img_0311.png: 3.456s, CER 0.0416, WER 0.2710
img_0312.png: 3.604s, CER 0.0461, WER 0.2747
img_0313.png: 3.320s, CER 0.0474, WER 0.2901
img_0314.png: 9.626s, CER 0.0510, WER 0.3158
img_0315.png: 3.206s, CER 0.0425, WER 0.2625
img_0316.png: 3.302s, CER 0.0507, WER 0.2864
img_0317.png: 3.409s, CER 0.0520, WER 0.3157
img_0318.png: 3.203s, CER 0.0500, WER 0.3055
img_0319.png: 3.321s, CER 0.0472, WER 0.2989
img_0260.png: 3.454s, CER 0.0444, WER 0.2700
img_0261.png: 3.306s, CER 0.0477, WER 0.2974
img_0262.png: 3.287s, CER 0.0416, WER 0.2588
img_0263.png: 3.303s, CER 0.0422, WER 0.2664
img_0264.png: 3.251s, CER 0.0474, WER 0.2857
img_0265.png: 3.225s, CER 0.0460, WER 0.2748
img_0266.png: 15.182s, CER 0.0551, WER 0.3266
img_0267.png: 3.481s, CER 0.0419, WER 0.2633
img_0268.png: 3.385s, CER 0.0533, WER 0.3310
img_0269.png: 10.596s, CER 0.0442, WER 0.2564
img_0270.png: 3.293s, CER 0.0400, WER 0.2431
img_0271.png: 3.312s, CER 0.0415, WER 0.2664
img_0272.png: 3.694s, CER 0.0478, WER 0.2968
img_0273.png: 3.325s, CER 0.0353, WER 0.2329
img_0274.png: 9.724s, CER 0.0485, WER 0.3091
img_0275.png: 3.408s, CER 0.0499, WER 0.3082
img_0276.png: 3.401s, CER 0.0479, WER 0.2922
img_0277.png: 3.371s, CER 0.0427, WER 0.2729
img_0278.png: 3.386s, CER 0.0474, WER 0.2727
img_0279.png: 3.350s, CER 0.0427, WER 0.2717
img_0280.png: 3.369s, CER 0.0474, WER 0.2881
img_0281.png: 3.379s, CER 0.0504, WER 0.3027
img_0282.png: 3.255s, CER 0.0452, WER 0.2740
img_0283.png: 3.462s, CER 0.0471, WER 0.2933
img_0284.png: 3.375s, CER 0.0491, WER 0.2989
img_0285.png: 7.629s, CER 0.0404, WER 0.2579
img_0286.png: 10.945s, CER 0.0486, WER 0.3088
img_0287.png: 3.270s, CER 0.0452, WER 0.2741
img_0288.png: 3.358s, CER 0.0462, WER 0.2900
img_0289.png: 10.607s, CER 0.0473, WER 0.2777
img_0290.png: 3.226s, CER 0.0435, WER 0.2643
img_0291.png: 3.327s, CER 0.0474, WER 0.2717
img_0292.png: 3.644s, CER 0.0416, WER 0.2719
img_0293.png: 3.542s, CER 0.0432, WER 0.2683
img_0294.png: 9.707s, CER 0.0478, WER 0.3004
img_0295.png: 3.270s, CER 0.0412, WER 0.2661
img_0296.png: 3.352s, CER 0.0431, WER 0.2607
img_0297.png: 3.461s, CER 0.0448, WER 0.2656
img_0298.png: 3.256s, CER 0.0460, WER 0.2913
img_0299.png: 3.364s, CER 0.0425, WER 0.2586
img_0320.png: 3.389s, CER 0.0475, WER 0.3022
img_0321.png: 11.210s, CER 0.0588, WER 0.3596
img_0322.png: 8.945s, CER 0.0479, WER 0.3004
img_0323.png: 3.238s, CER 0.0533, WER 0.3169
img_0324.png: 3.345s, CER 0.0530, WER 0.3326
img_0325.png: 3.223s, CER 0.0500, WER 0.2931
img_0326.png: 3.281s, CER 0.0502, WER 0.3014
img_0327.png: 3.473s, CER 0.0404, WER 0.2615
img_0328.png: 8.757s, CER 0.0474, WER 0.2998
img_0329.png: 3.182s, CER 0.0478, WER 0.3056
img_0330.png: 11.424s, CER 0.0523, WER 0.3216
img_0331.png: 3.344s, CER 0.0507, WER 0.2980
img_0332.png: 3.284s, CER 0.0475, WER 0.2828
img_0333.png: 10.378s, CER 0.0448, WER 0.2948
img_0334.png: 3.279s, CER 0.0509, WER 0.3126
img_0335.png: 3.256s, CER 0.0439, WER 0.2905
img_0336.png: 3.377s, CER 0.0498, WER 0.2920
img_0337.png: 3.306s, CER 0.0480, WER 0.2876
img_0338.png: 3.218s, CER 0.0394, WER 0.2632
img_0339.png: 3.215s, CER 0.0440, WER 0.2459
img_0340.png: 9.672s, CER 0.0495, WER 0.2956
img_0341.png: 10.476s, CER 0.0562, WER 0.3310
img_0342.png: 3.371s, CER 0.0511, WER 0.3219
img_0343.png: 3.213s, CER 0.0456, WER 0.2763
img_0344.png: 3.453s, CER 0.0386, WER 0.2397
img_0345.png: 3.487s, CER 0.0471, WER 0.2801
img_0346.png: 3.253s, CER 0.0440, WER 0.2676
img_0347.png: 8.941s, CER 0.0488, WER 0.2966
img_0348.png: 3.448s, CER 0.0464, WER 0.2879
img_0349.png: 3.092s, CER 0.0483, WER 0.2867
img_0350.png: 11.432s, CER 0.0452, WER 0.2901
img_0351.png: 3.281s, CER 0.0462, WER 0.2860
img_0352.png: 8.940s, CER 0.0438, WER 0.2646
img_0353.png: 4.734s, CER 0.0502, WER 0.3264
img_0354.png: 3.264s, CER 0.0454, WER 0.2788
img_0355.png: 3.248s, CER 0.0447, WER 0.2659
img_0356.png: 3.250s, CER 0.0417, WER 0.2534
img_0357.png: 3.290s, CER 0.0474, WER 0.2952
img_0358.png: 3.313s, CER 0.0447, WER 0.2921
img_0359.png: 3.241s, CER 0.0464, WER 0.2703
img_0360.png: 9.293s, CER 0.0462, WER 0.2844
img_0361.png: 10.821s, CER 0.0423, WER 0.2647
img_0362.png: 3.313s, CER 0.0441, WER 0.2807
img_0363.png: 3.390s, CER 0.0427, WER 0.2706
img_0364.png: 3.325s, CER 0.0434, WER 0.2717
img_0365.png: 3.193s, CER 0.0410, WER 0.2448
img_0366.png: 3.279s, CER 0.0455, WER 0.3131
img_0367.png: 6.542s, CER 0.0462, WER 0.2847
img_0368.png: 5.599s, CER 0.0453, WER 0.2887
img_0369.png: 3.507s, CER 0.0431, WER 0.2601
img_0370.png: 11.452s, CER 0.0378, WER 0.2428
img_0371.png: 3.338s, CER 0.0449, WER 0.2729
img_0372.png: 10.380s, CER 0.0440, WER 0.2713
img_0373.png: 3.614s, CER 0.0462, WER 0.2912
img_0374.png: 3.374s, CER 0.0492, WER 0.2807
img_0375.png: 3.248s, CER 0.0458, WER 0.2844
img_0376.png: 3.237s, CER 0.0437, WER 0.2738
img_0377.png: 3.326s, CER 0.0511, WER 0.2705
img_0378.png: 3.334s, CER 0.0477, WER 0.2829
img_0379.png: 3.189s, CER 0.0493, WER 0.3122
img_0380.png: 9.744s, CER 0.0422, WER 0.2620
img_0381.png: 10.509s, CER 0.0505, WER 0.3057
img_0382.png: 3.347s, CER 0.0419, WER 0.2551
img_0383.png: 3.219s, CER 0.0435, WER 0.2523
img_0384.png: 3.352s, CER 0.0435, WER 0.2664
img_0385.png: 3.361s, CER 0.0454, WER 0.2652
img_0386.png: 3.322s, CER 0.0476, WER 0.2870
img_0387.png: 8.852s, CER 0.0524, WER 0.3054
img_0388.png: 3.654s, CER 0.0489, WER 0.3041
img_0389.png: 4.094s, CER 0.0432, WER 0.2688
img_0390.png: 10.725s, CER 0.0496, WER 0.3053
img_0391.png: 3.295s, CER 0.0445, WER 0.2805
img_0392.png: 10.510s, CER 0.0514, WER 0.3079
img_0393.png: 3.316s, CER 0.0356, WER 0.2292
img_0394.png: 3.297s, CER 0.0456, WER 0.2803
img_0395.png: 3.292s, CER 0.0499, WER 0.3043
img_0396.png: 3.245s, CER 0.0432, WER 0.2690
img_0397.png: 3.281s, CER 0.0495, WER 0.3146
img_0398.png: 3.261s, CER 0.0467, WER 0.2884
img_0399.png: 3.297s, CER 0.0416, WER 0.2606
img_0400.png: 3.198s, CER 0.0416, WER 0.2725
img_0401.png: 3.387s, CER 0.0405, WER 0.2455
img_0402.png: 3.333s, CER 0.0431, WER 0.2686
img_0403.png: 6.917s, CER 0.0476, WER 0.2975
img_0404.png: 11.488s, CER 0.0472, WER 0.2975
img_0405.png: 3.318s, CER 0.0446, WER 0.2782
img_0406.png: 3.195s, CER 0.0457, WER 0.2903
img_0407.png: 9.616s, CER 0.0408, WER 0.2640
img_0408.png: 3.185s, CER 0.0520, WER 0.3047
img_0409.png: 3.595s, CER 0.0439, WER 0.2700
img_0410.png: 3.575s, CER 0.0472, WER 0.2876
img_0411.png: 3.424s, CER 0.0447, WER 0.2775
img_0412.png: 3.247s, CER 0.0453, WER 0.2646
img_0413.png: 3.383s, CER 0.0553, WER 0.3417
img_0414.png: 3.322s, CER 0.0453, WER 0.2815
img_0415.png: 3.477s, CER 0.0479, WER 0.2921
img_0416.png: 3.364s, CER 0.0459, WER 0.2970
img_0417.png: 3.441s, CER 0.0429, WER 0.2775
img_0418.png: 3.381s, CER 0.0507, WER 0.2899
img_0419.png: 3.444s, CER 0.0410, WER 0.2506
img_0420.png: 3.299s, CER 0.0466, WER 0.2902
img_0421.png: 3.264s, CER 0.0492, WER 0.2956
img_0422.png: 3.312s, CER 0.0435, WER 0.2780
img_0423.png: 10.132s, CER 0.0486, WER 0.3070
img_0424.png: 8.212s, CER 0.0549, WER 0.3395
img_0425.png: 3.155s, CER 0.0452, WER 0.2847
img_0426.png: 3.275s, CER 0.0452, WER 0.2867
img_0427.png: 9.605s, CER 0.0431, WER 0.2677
img_0428.png: 3.261s, CER 0.0477, WER 0.3041
img_0429.png: 3.589s, CER 0.0490, WER 0.3073
img_0430.png: 3.613s, CER 0.0420, WER 0.2527
img_0431.png: 3.394s, CER 0.0488, WER 0.2844
img_0432.png: 3.382s, CER 0.0501, WER 0.3007
img_0433.png: 3.490s, CER 0.0448, WER 0.2733
img_0434.png: 3.247s, CER 0.0468, WER 0.3072
img_0435.png: 3.334s, CER 0.0527, WER 0.3181
img_0436.png: 3.275s, CER 0.0415, WER 0.2731
img_0437.png: 3.373s, CER 0.0396, WER 0.2438
img_0438.png: 3.388s, CER 0.0458, WER 0.2899
img_0439.png: 8.719s, CER 0.0505, WER 0.3105
img_0460.png: 3.267s, CER 0.0500, WER 0.2995
img_0461.png: 3.306s, CER 0.0600, WER 0.3483
img_0462.png: 3.176s, CER 0.0463, WER 0.2873
img_0463.png: 14.748s, CER 0.0465, WER 0.2874
img_0464.png: 3.626s, CER 0.0400, WER 0.2461
img_0465.png: 3.311s, CER 0.0450, WER 0.2779
img_0466.png: 7.418s, CER 0.0437, WER 0.2712
img_0467.png: 5.416s, CER 0.0387, WER 0.2387
img_0468.png: 3.269s, CER 0.0499, WER 0.2989
img_0469.png: 3.625s, CER 0.0493, WER 0.3066
img_0470.png: 3.480s, CER 0.0505, WER 0.2998
img_0471.png: 3.496s, CER 0.0491, WER 0.2913
img_0472.png: 3.370s, CER 0.0558, WER 0.3372
img_0473.png: 3.466s, CER 0.0578, WER 0.3356
img_0474.png: 3.452s, CER 0.0509, WER 0.3041
img_0475.png: 3.332s, CER 0.0423, WER 0.2815
img_0476.png: 3.363s, CER 0.0392, WER 0.2438
img_0477.png: 3.278s, CER 0.0377, WER 0.2494
img_0478.png: 3.434s, CER 0.0468, WER 0.2874
img_0479.png: 8.956s, CER 0.0527, WER 0.3178
img_0440.png: 3.417s, CER 0.0488, WER 0.2713
img_0441.png: 3.214s, CER 0.0462, WER 0.2800
img_0442.png: 3.295s, CER 0.0477, WER 0.2802
img_0443.png: 13.055s, CER 0.0501, WER 0.3037
img_0444.png: 5.256s, CER 0.0443, WER 0.2797
img_0445.png: 3.444s, CER 0.0545, WER 0.3174
img_0446.png: 7.170s, CER 0.0418, WER 0.2603
img_0447.png: 5.705s, CER 0.0487, WER 0.3342
img_0448.png: 3.370s, CER 0.0558, WER 0.3396
img_0449.png: 3.621s, CER 0.0425, WER 0.2593
img_0450.png: 3.657s, CER 0.0502, WER 0.3036
img_0451.png: 3.377s, CER 0.0494, WER 0.2908
